step,index,strand,chr,splice site locus,usage estimate
0,s0,+,4,83351715,0.28375533370795036
0,s1,+,4,83351801,0.13981582396085016
0,s2,+,4,83351815,0.19069561777476893
0,s3,+,4,83369073,0.9577765854586197
0,s4,+,4,83372196,0.9524496589503982
0,s5,+,4,83375875,0.9978393126952813
0,s6,+,4,83378068,0.9928148669814949
0,s7,+,4,83381134,0.9766558409400775
0,e0,+,4,83352037,0.08170033162496232
0,e1,+,4,83352066,0.999999
0,e2,+,4,83369174,0.999999
0,e3,+,4,83372398,0.999999
0,e4,+,4,83376007,0.999999
0,e5,+,4,83378191,0.999999
0,e6,+,4,83382208,1e-06
0,e7,+,4,83382240,1e-06
1,s0,+,4,83351715,0.29342007297479117
1,s1,+,4,83351801,0.13008537474563883
1,s2,+,4,83351815,0.17509429444062694
1,s3,+,4,83369073,0.9558459673838502
1,s4,+,4,83372196,0.9495671682868353
1,s5,+,4,83375875,0.9971900740271734
1,s6,+,4,83378068,0.992548518352073
1,s7,+,4,83381134,0.9747871108753824
1,e0,+,4,83352037,0.08663366336633663
1,e1,+,4,83352066,0.999999
1,e2,+,4,83369174,0.999999
1,e3,+,4,83372398,0.999999
1,e4,+,4,83376007,0.999999
1,e5,+,4,83378191,0.999999
1,e6,+,4,83382208,1e-06
1,e7,+,4,83382240,1e-06
2,s0,+,4,83351715,0.29611336846747394
2,s1,+,4,83351801,0.1420997462546113
2,s2,+,4,83351815,0.19573694653008797
2,s3,+,4,83369073,0.963770888571741
2,s4,+,4,83372196,0.952280463740421
2,s5,+,4,83375875,0.9977581601849538
2,s6,+,4,83378068,0.9922856776982156
2,s7,+,4,83381134,0.9764726345745905
2,e0,+,4,83352037,0.07489760093622001
2,e1,+,4,83352066,0.999999
2,e2,+,4,83369174,0.999999
2,e3,+,4,83372398,0.999999
2,e4,+,4,83376007,0.999999
2,e5,+,4,83378191,0.999999
2,e6,+,4,83382208,1e-06
2,e7,+,4,83382240,1e-06
3,s0,+,4,83351715,0.27764486240611963
3,s1,+,4,83351801,0.1346312901267374
3,s2,+,4,83351815,0.18185612636762336
3,s3,+,4,83369073,0.9554056132090977
3,s4,+,4,83372196,0.9497806965160086
3,s5,+,4,83375875,0.9981272399819143
3,s6,+,4,83378068,0.9902713016787024
3,s7,+,4,83381134,0.950683277980819
3,e0,+,4,83352037,0.08254568367989919
3,e1,+,4,83352066,0.999999
3,e2,+,4,83369174,0.999999
3,e3,+,4,83372398,0.999999
3,e4,+,4,83376007,0.999999
3,e5,+,4,83378191,0.999999
3,e6,+,4,83382208,1e-06
3,e7,+,4,83382240,1e-06
4,s0,+,4,83351715,0.2743804216221579
4,s1,+,4,83351801,0.14669448993528586
4,s2,+,4,83351815,0.202734580991058
4,s3,+,4,83369073,0.9625935459936372
4,s4,+,4,83372196,0.9464703166441785
4,s5,+,4,83375875,0.9966492209195825
4,s6,+,4,83378068,0.9915544389044967
4,s7,+,4,83381134,0.9755816765549846
4,e0,+,4,83352037,0.09779367918902802
4,e1,+,4,83352066,0.999999
4,e2,+,4,83369174,0.999999
4,e3,+,4,83372398,0.999999
4,e4,+,4,83376007,0.999999
4,e5,+,4,83378191,0.999999
4,e6,+,4,83382208,1e-06
4,e7,+,4,83382240,1e-06
5,s0,+,4,83351715,0.2638245215445828
5,s1,+,4,83351801,0.14634146319300467
5,s2,+,4,83351815,0.20062599096475647
5,s3,+,4,83369073,0.9598657986404817
5,s4,+,4,83372196,0.9532729846344481
5,s5,+,4,83375875,0.997088425605435
5,s6,+,4,83378068,0.9932157674354393
5,s7,+,4,83381134,0.9590107143401102
5,e0,+,4,83352037,0.08580060422960725
5,e1,+,4,83352066,0.999999
5,e2,+,4,83369174,0.999999
5,e3,+,4,83372398,0.999999
5,e4,+,4,83376007,0.999999
5,e5,+,4,83378191,0.999999
5,e6,+,4,83382208,1e-06
5,e7,+,4,83382240,1e-06
6,s0,+,4,83351715,0.2735148340992588
6,s1,+,4,83351801,0.14371579059056466
6,s2,+,4,83351815,0.19790083582471008
6,s3,+,4,83369073,0.9527226478212849
6,s4,+,4,83372196,0.9588489962050317
6,s5,+,4,83375875,0.9979303600819348
6,s6,+,4,83378068,0.9920415013412205
6,s7,+,4,83381134,0.9791896814048229
6,e0,+,4,83352037,0.07949029126213593
6,e1,+,4,83352066,0.999999
6,e2,+,4,83369174,0.999999
6,e3,+,4,83372398,0.999999
6,e4,+,4,83376007,0.999999
6,e5,+,4,83378191,0.999999
6,e6,+,4,83382208,1e-06
6,e7,+,4,83382240,1e-06
7,s0,+,4,83351715,0.26365034578012747
7,s1,+,4,83351801,0.1527671787477855
7,s2,+,4,83351815,0.21113454755323977
7,s3,+,4,83369073,0.964974180679245
7,s4,+,4,83372196,0.9569377624126069
7,s5,+,4,83375875,0.9972525793000347
7,s6,+,4,83378068,0.9932477756344904
7,s7,+,4,83381134,0.976453414424682
7,e0,+,4,83352037,0.08030480656506447
7,e1,+,4,83352066,0.999999
7,e2,+,4,83369174,0.999999
7,e3,+,4,83372398,0.999999
7,e4,+,4,83376007,0.999999
7,e5,+,4,83378191,0.999999
7,e6,+,4,83382208,1e-06
7,e7,+,4,83382240,1e-06
8,s0,+,4,83351715,0.26734382164731524
8,s1,+,4,83351801,0.1560971929579324
8,s2,+,4,83351815,0.2160010061010955
8,s3,+,4,83369073,0.9688335722245889
8,s4,+,4,83372196,0.9511931822823414
8,s5,+,4,83375875,0.9990436654990208
8,s6,+,4,83378068,0.9946318281370804
8,s7,+,4,83381134,0.9809566060149385
8,e0,+,4,83352037,0.08906882591093117
