step,index,strand,chr,splice site locus,usage estimate
0,s0,+,4,83351715,0.41211471460901544
0,s1,+,4,83351801,0.002613976970572533
0,s2,+,4,83351815,0.15567405641106868
0,s3,+,4,83369073,0.9998525947677154
0,s4,+,4,83372196,0.8804973442544055
0,s5,+,4,83375875,0.9989621407933343
0,s6,+,4,83378068,0.6284081082561088
0,s7,+,4,83381134,0.8502595497033563
0,e0,+,4,83352037,0.1117544875506659
0,e1,+,4,83352066,0.999999
0,e2,+,4,83369174,0.999999
0,e3,+,4,83372398,0.999999
0,e4,+,4,83376007,0.999999
0,e5,+,4,83378191,0.999999
0,e6,+,4,83382208,1e-06
0,e7,+,4,83382240,1e-06
1,s0,+,4,83351715,0.43058549275920693
1,s1,+,4,83351801,0.0027724181573490097
1,s2,+,4,83351815,0.10116110303231485
1,s3,+,4,83369073,0.9998479380724805
1,s4,+,4,83372196,0.8786665839466625
1,s5,+,4,83375875,0.9999268212506449
1,s6,+,4,83378068,0.620997270345417
1,s7,+,4,83381134,0.867887856985246
1,e0,+,4,83352037,0.13278495887191538
1,e1,+,4,83352066,0.999999
1,e2,+,4,83369174,0.999999
1,e3,+,4,83372398,0.999999
1,e4,+,4,83376007,0.999999
1,e5,+,4,83378191,0.999999
1,e6,+,4,83382208,1e-06
1,e7,+,4,83382240,1e-06
2,s0,+,4,83351715,0.41870619141238163
2,s1,+,4,83351801,0.0025287099157621216
2,s2,+,4,83351815,0.09371825904782219
2,s3,+,4,83369073,0.9998528287275565
2,s4,+,4,83372196,0.8867452039586516
2,s5,+,4,83375875,0.9994537017755216
2,s6,+,4,83378068,0.6259115219052255
2,s7,+,4,83381134,0.8339747976135716
2,e0,+,4,83352037,0.10381861575178998
2,e1,+,4,83352066,0.999999
2,e2,+,4,83369174,0.999999
2,e3,+,4,83372398,0.999999
2,e4,+,4,83376007,0.999999
2,e5,+,4,83378191,0.999999
2,e6,+,4,83382208,1e-06
2,e7,+,4,83382240,1e-06
3,s0,+,4,83351715,0.43101558036598364
3,s1,+,4,83351801,0.002997247275005051
3,s2,+,4,83351815,0.2126933248705121
3,s3,+,4,83369073,0.999853541635472
3,s4,+,4,83372196,0.8697771022295491
3,s5,+,4,83375875,0.9980404514710418
3,s6,+,4,83378068,0.6172103629351161
3,s7,+,4,83381134,0.8590499241836177
3,e0,+,4,83352037,0.11266094420600858
3,e1,+,4,83352066,0.999999
3,e2,+,4,83369174,0.999999
3,e3,+,4,83372398,0.999999
3,e4,+,4,83376007,0.999999
3,e5,+,4,83378191,0.999999
3,e6,+,4,83382208,1e-06
3,e7,+,4,83382240,1e-06
4,s0,+,4,83351715,0.4094978111286789
4,s1,+,4,83351801,0.002709970115035207
4,s2,+,4,83351815,0.18118987033058886
4,s3,+,4,83369073,0.9998583296182049
4,s4,+,4,83372196,0.8926931455302323
4,s5,+,4,83375875,0.997949457849448
4,s6,+,4,83378068,0.6367291936375925
4,s7,+,4,83381134,0.8521155654522528
4,e0,+,4,83352037,0.1017897091722595
4,e1,+,4,83352066,0.999999
4,e2,+,4,83369174,0.999999
4,e3,+,4,83372398,0.999999
4,e4,+,4,83376007,0.999999
4,e5,+,4,83378191,0.999999
4,e6,+,4,83382208,1e-06
4,e7,+,4,83382240,1e-06
5,s0,+,4,83351715,0.3685580221424145
5,s1,+,4,83351801,0.0024629772318821154
5,s2,+,4,83351815,0.18929988725841568
5,s3,+,4,83369073,0.9998504844331506
5,s4,+,4,83372196,0.884132447455222
5,s5,+,4,83375875,0.9994492983366727
5,s6,+,4,83378068,0.6313897564379899
5,s7,+,4,83381134,0.8339508422752246
5,e0,+,4,83352037,0.12338425381903642
5,e1,+,4,83352066,0.999999
5,e2,+,4,83369174,0.999999
5,e3,+,4,83372398,0.999999
5,e4,+,4,83376007,0.999999
5,e5,+,4,83378191,0.999999
5,e6,+,4,83382208,1e-06
5,e7,+,4,83382240,1e-06
6,s0,+,4,83351715,0.37381416973398723
6,s1,+,4,83351801,0.0024691539490819345
6,s2,+,4,83351815,0.17528571229893924
6,s3,+,4,83369073,0.999861038951768
6,s4,+,4,83372196,0.8712081341592035
6,s5,+,4,83375875,0.9989739047995688
6,s6,+,4,83378068,0.6269373969908113
6,s7,+,4,83381134,0.7818661170723988
6,e0,+,4,83352037,0.11189634864546526
6,e1,+,4,83352066,0.999999
6,e2,+,4,83369174,0.999999
6,e3,+,4,83372398,0.999999
6,e4,+,4,83376007,0.999999
6,e5,+,4,83378191,0.999999
6,e6,+,4,83382208,1e-06
6,e7,+,4,83382240,1e-06
7,s0,+,4,83351715,0.4486857115092895
7,s1,+,4,83351801,0.0030669043861631293
7,s2,+,4,83351815,0.05795267798113018
7,s3,+,4,83369073,0.9998509766229424
7,s4,+,4,83372196,0.889160804238717
7,s5,+,4,83375875,0.9984535655639983
7,s6,+,4,83378068,0.6249363051654341
7,s7,+,4,83381134,0.7935771788192173
7,e0,+,4,83352037,0.10837438423645321
7,e1,+,4,83352066,0.999999
7,e2,+,4,83369174,0.999999
7,e3,+,4,83372398,0.999999
7,e4,+,4,83376007,0.999999
7,e5,+,4,83378191,0.999999
7,e6,+,4,83382208,1e-06
7,e7,+,4,83382240,1e-06
8,s0,+,4,83351715,0.4024719174213709
8,s1,+,4,83351801,0.0025851361892045054
8,s2,+,4,83351815,0.17538974292114756
8,s3,+,4,83369073,0.9998530231777459
8,s4,+,4,83372196,0.8879343138441611
8,s5,+,4,83375875,0.9999277579623514
8,s6,+,4,83378068,0.6312481413877971
8,s7,+,4,83381134,0.8484578572366851
8,e0,+,4,83352037,0.09832402234636871
8,e1,+,4,83352066,0.999999
8,e2,+,4,83369174,0.999999
8,e3,+,4,83372398,0.999999
8,e4,+,4,83376007,0.999999
8,e5,+,4,83378191,0.999999
8,e6,+,4,83382208,1e-06
8,e7,+,4,83382240,1e-06
9,s0,+,4,83351715,0.42202912069368714
9,s1,+,4,83351801,0.0025184278290531132
9,s2,+,4,83351815,0.08799737073820464
9,s3,+,4,83369073,0.9998570595953767
9,s4,+,4,83372196,0.8874994559333064
9,s5,+,4,83375875,0.9974730407307388
9,s6,+,4,83378068,0.6166888008395154
9,s7,+,4,83381134,0.830201664615531
9,e0,+,4,83352037,0.09915356711003627
9,e1,+,4,83352066,0.999999
